date,type,minutes,note,generated
2025-08-28,stream,,,
2025-09-11,stream,,,
2025-09-25,stream,,,
2025-10-10,weekly,53,,true
2025-10-16,weekly,54,,true
2025-10-23,stream,,,
2025-11-07,weekly,59,,true
2025-11-14,weekly,62,,true
2025-11-21,weekly,58,,true
2025-11-27,stream,,,
2025-12-05,weekly,56,,true
2025-12-12,weekly,56,,true
2026-01-16,weekly,59,,true
2026-01-23,weekly,52,,true
2026-01-29,weekly,51,,true
2026-02-06,weekly,58,,true
2026-02-21,weekly,55,,true
2026-02-27,weekly,53,,true
2026-03-07,weekly,59,,true
2026-03-12,weekly,58,,true
2026-03-20,weekly,56,,true
2026-03-28,weekly,59,,true
2026-04-02,weekly,56,,true
2026-04-09,weekly,60,,true
2026-04-17,weekly,58,,true
2026-04-24,weekly,62,,true
2026-05-01,weekly,54,,true
2026-05-15,weekly,55,,true
2026-05-25,stream,,,
2026-06-05,weekly,56,,true
2026-06-12,weekly,58,,true
2026-06-25,stream,,,
2026-07-03,weekly,55,,true
2026-08-13,weekly,50,,
2026-08-20,weekly,60,,
2026-08-27,weekly,50,,
2026-09-03,weekly,57,,
2026-09-10,weekly,60,,
