id,title,url,authors,note
telegram-kanal-s-uprazhneniyami-dlya-dizaynerov,Телеграм-канал с упражнениями для дизайнеров,https://t.me/ddrills,roma-kuzhel,
telegram-kanal-oy-babonki-glyante-ka,"Телеграм-канал «Ой, бабоньки, гляньте-ка!»",https://t.me/oibabonky,elena-chausova,
bookov,Bookov,https://bookov.app/,kirill-oleynichenko,
illyustratsii-dlya-upakovki,Иллюстрации для упаковки,,kristina-dunina,
stopfires-org,stopfires.org,http://stopfires.org,rinat-enikeev,
telegram-kanal-kakovo-byt-dizaynerom,Телеграм-канал «Каково быть дизайнером»,https://t.me/kakovo_design,kristina-marchenko,
creative-spark-board,creative-spark-board,https://creative-spark-board.lovable.app/,roma-kuzhel,
telegram-kanal-ruslan-i-bukvalnyy-chellendzh,Телеграм-канал «Руслан и Буквальный челлендж»,https://t.me/simbarus_abc,ruslan-mamedov,
podkast-hoba,Подкаст «Хоба»,https://hoba.mave.digital/,daler-alierov,
svoy-sayt,Сайт Виктора Тимофеева,,viktor-timofeev,
gotitbureau-com-rus,gotitbureau.com/rus,https://gotitbureau.com/rus,ira-zaharova,
detskaya-kniga,Детская книга,,ekaterina-lakutina,
muzey-neprinyatyh-rabot-stol,Музей непринятых работ «Стол»,https://t.me/stolmuseum,artem-ermolaev,
hypetype,hypetype,https://simbarus.com/hypetype,ruslan-mamedov,
kurs-po-matematike-kotoraya-prigoditsya-v-zhizni,"Курс по математике, которая пригодится в жизни",https://setka.design/math/,adam-arutyunov,
pervyy-rolik-na-yutyub,Первый ролик на ютюб,https://www.youtube.com/watch?v=R3uu2H9HthQ,masha-troitskaya,
prilozhenie-dlya-rasshifrovki-vstrech-context,Приложение для расшифровки встреч «Context»,,daler-alierov,
past-simple,Past Simple,https://past-simple.ru/,artem-ermolaev,
aside,Aside,https://aside.city/,lesha-nikitin,
bot-letmidzhoyn,Бот Летмиджойн,https://letmejoin.myshkin.eu/,kirill-myshkin,
prezentatsiya-kak-sobrat-portfolio,Презентация «Как собрать портфолио»,,evgeniy-smirnov,
dot-dead,dot.dead,https://t.me/danyatutpishet/735,danya-samoylenko,
search-thru,Search Thru,http://searchth.ru/,magomed-vagabov,
telerupor,Телерупор,,kirill-myshkin,
kontsept-igry-chayka,Концепт игры «Чайка»,,anastasiya-fomina,
scurrynslide-biblioteka-dlya-drag-and-drop,Scurry’n’slide — библиотека для drag-and-drop,https://myshkin.eu/scurry-n-slide,kirill-myshkin,
igra-shpion-sredi-nas,Игра «Шпион среди нас»,https://apps.apple.com/kz/app/spy-party-game/id6787716143,marat-habibulin,
polina-hochet-uchitsya-vo-frantsii,Полина хочет учиться во Франции,https://t.me/+XuBW-Kc0t4wzYTYy,polina-perevalova,
sayt-kristiny-marchenko,Сайт Кристины Марченко,,kristina-marchenko,
taymer-dlya-chasov,Таймер для часов,,andrey,Надо узнать название
sayly-ai-english-tutor,Sayly — AI English tutor,https://t.me/PerfectEnglishTutorBot,ayrat,
otslezhivatel-biletov-na-vodnyy-transport,Отслеживатель билетов на водный транспорт,,zhenya-arutyunov,
ernolaev-space-svoy-sayt,ernolaev.space — свой сайт,https://ermolaev.space,artem-ermolaev,
shrift,Шрифт Михей,,magomed-vagabov,
obnovlenie-sayta-evgeniya-smirnova,Обновление сайта Евгения Смирнова,https://yevgeniysmirnov.ru/,evgeniy-smirnov,
konsultatsionnyy-klub,Консультационный клуб,,zhenya-arutyunov,
sayt-dannyh-dlya-dnd,Сайт данных для ДНД,,ramil-karimov,
tsifrovaya-prepodavatelskaya,Цифровая преподавательская,,kristina-marchenko,
pechat-knigi-eto-krasivo-a-eto-net,"Печать книги «Это красиво, а это нет»",,zhenya-arutyunov,
inst-dlya-tvorchestva,Инст для творчества,https://www.instagram.com/polina_tancy_muzyka/,polina-perevalova,
